Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-3.61%,4.86%,2.56%,-8.98%,5.46%,-0.58%,-3.66%,2.29%,-0.50%,-0.50%,-10.57%
3Y (ann.),2.22%,-0.17%,2.67%,-2.89%,1.52%,-1.62%,0.40%,1.91%,-1.15%,-3.93%,-6.30%
5Y (ann.),0.96%,-0.95%,4.37%,-3.67%,1.54%,-1.36%,-1.05%,-0.11%,-1.00%,-1.52%,3.12%
10Y (ann.),1.14%,-1.08%,3.83%,-2.52%,1.02%,-1.19%,-0.93%,-0.19%,-1.40%,-0.94%,1.38%
Since Incep. (ann.),1.14%,-1.08%,3.83%,-2.52%,1.02%,-1.19%,-0.93%,-0.19%,-1.40%,-0.94%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,0.22,-0.18,0.70,-0.44,0.20,-0.20,-0.15,-0.01,-0.24,-0.15,0.27
Daily Mean (ann.),0.85%,-0.67%,2.66%,-1.69%,0.77%,-0.75%,-0.57%,-0.06%,-0.90%,-0.58%,1.02%
Daily Vol (ann.),3.80%,3.80%,3.79%,3.80%,3.80%,3.80%,3.80%,3.80%,3.80%,3.80%,3.80%
Daily Skew,0.01,-0.02,0.00,-0.07,0.01,-0.06,0.00,0.02,-0.05,0.04,-0.01
Daily Kurt,-0.12,-0.12,-0.12,-0.13,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12
Best Day,0.75%,0.72%,0.75%,0.65%,0.74%,0.71%,0.73%,0.73%,0.75%,0.73%,0.75%
Worst Day,-0.74%,-0.75%,-0.74%,-0.75%,-0.75%,-0.75%,-0.75%,-0.75%,-0.73%,-0.75%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.14,-0.27,0.75,-0.57,0.20,-0.22,-0.18,-0.07,-0.22,-0.23,0.19
Monthly Mean (ann.),0.73%,-1.28%,3.91%,-2.98%,0.90%,-1.13%,-0.77%,-0.32%,-1.19%,-1.08%,2.21%
Monthly Vol (ann.),5.09%,4.75%,5.19%,5.22%,4.54%,5.11%,4.38%,4.36%,5.46%,4.68%,11.92%
Monthly Skew,0.37,-0.58,-0.26,0.37,0.16,-0.29,-0.16,-0.80,-0.08,0.26,0.45
Monthly Kurt,0.17,0.29,-0.07,0.54,0.33,0.25,-0.78,2.03,0.69,0.07,-0.31
Best Month,4.50%,1.91%,3.57%,4.32%,3.60%,3.31%,2.19%,2.78%,3.66%,3.69%,8.69%
Worst Month,-2.80%,-4.53%,-3.88%,-4.12%,-3.53%,-4.27%,-2.74%,-4.69%,-4.22%,-2.78%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.44,-0.44,1.05,-0.47,0.40,-0.30,-0.17,0.02,-0.57,-0.93,0.23
Yearly Mean,1.49%,-1.92%,4.08%,-2.82%,1.42%,-0.86%,-0.18%,0.05%,-1.44%,-1.55%,5.29%
Yearly Vol,3.37%,4.33%,3.89%,6.03%,3.54%,2.83%,1.06%,2.76%,2.50%,1.67%,22.70%
Yearly Skew,1.18,-0.23,0.08,0.73,-0.70,-0.08,-0.11,0.70,-0.08,0.02,1.88
Yearly Kurt,0.72,-2.31,-3.00,0.06,-2.07,-2.92,-2.10,-1.77,0.44,-1.09,3.81
Best Year,6.77%,2.29%,8.05%,6.18%,4.77%,2.05%,1.11%,3.87%,1.91%,0.61%,44.58%
Worst Year,-1.66%,-7.36%,0.18%,-8.79%,-3.38%,-3.95%,-1.40%,-2.42%,-4.86%,-3.63%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-1.13%,-2.30%,-0.84%,-1.29%,-1.46%,-1.87%,-2.96%,-3.10%,-1.88%,-1.29%,-1.75%
Avg. Drawdown Days,60.59,164.08,26.69,98.10,98.05,115.94,331.83,496.75,198.00,64.90,61.80
Avg. Up Month,1.28%,1.05%,1.36%,1.18%,1.08%,1.16%,0.94%,0.91%,1.32%,1.11%,2.87%
Avg. Down Month,-1.05%,-1.16%,-1.12%,-1.26%,-0.96%,-1.17%,-1.17%,-0.99%,-1.11%,-1.06%,-2.58%
Win Year %,40.00%,40.00%,100.00%,20.00%,60.00%,40.00%,60.00%,40.00%,20.00%,20.00%,40.00%
Win 12m %,74.55%,38.18%,80.00%,32.73%,54.55%,36.36%,45.45%,40.00%,32.73%,45.45%,56.36%
